prec_no,block_no,prec_name,block_name,ob_type
48,0418,長野県,高遠,a
48,0419,長野県,入笠山,a
48,0420,長野県,宮田高原,a
48,0421,長野県,松峯,a
48,0422,長野県,須原,a
48,0423,長野県,摺古木山,a
48,0424,長野県,飯島,a
48,0425,長野県,笹山,a
48,47637,長野県,飯田,s
48,0427,長野県,恵那山,a
48,0428,長野県,鶯巣,a
48,0992,長野県,菅平,a
48,0993,長野県,東御,a
48,0994,長野県,上高地,a
48,1022,長野県,南木曽,a
48,1090,長野県,南小谷,a
48,1162,長野県,鬼無里,a
48,1300,長野県,立科,a
48,1312,長野県,奈川,a
48,1314,長野県,開田高原,a
48,1317,長野県,浪合,a
48,1319,長野県,辰野,a
48,1323,長野県,南信濃,a
48,1339,長野県,阿南,a
48,1360,長野県,聖高原,a
48,1392,長野県,網掛山,a
48,1394,長野県,大鹿,a
48,1397,長野県,杉島,a
48,1399,長野県,十石峠,a
48,1411,長野県,小谷,a
48,1445,長野県,伊那,a
48,1529,長野県,松本今井,a
48,1549,長野県,北相木,a
48,1550,長野県,白樺湖,a
48,1551,長野県,高遠,a
48,1591,長野県,宮田,a
48,1659,長野県,王滝大又,a
48,1666,長野県,木祖薮原,a
49,0429,山梨県,剣ノ峰,a
49,0430,山梨県,日向山,a
49,0431,山梨県,大菩薩,a
49,47638,山梨県,甲府,s
49,0433,山梨県,勝沼,a
49,0434,山梨県,大月,a
49,0435,山梨県,八町山,a
49,0436,山梨県,古関,a
49,47640,山梨県,河口湖,s
49,0438,山梨県,山中,a
49,0439,山梨県,南部,a
49,1023,山梨県,大泉,a
49,1024,山梨県,韮崎,a
49,1165,山梨県,上野原,a
49,1234,山梨県,切石,a
49,47639,山梨県,富士山,s
49,1599,山梨県,乙女湖,a
49,1640,山梨県,富士川,a
50,0440,静岡県,白糸,a
50,0441,静岡県,御殿場,a
50,0442,静岡県,富士,a
50,47657,静岡県,三島,s
50,0444,静岡県,越木平,a
50,0445,静岡県,川根本町,a
50,0446,静岡県,大山,a
50,47668,静岡県,網代,s
50,0448,静岡県,高根山,a
50,47656,静岡県,静岡,s
50,0450,静岡県,霧山,a
50,0451,静岡県,天竜,a
50,0452,静岡県,島田,a
50,0453,静岡県,湯ケ島,a
50,0454,静岡県,天城山,a
50,47654,静岡県,浜松,s
50,0456,静岡県,松崎,a
50,0457,静岡県,稲取,a
50,47655,静岡県,御前崎,s
50,47666,静岡県,石廊崎,s
50,0986,静岡県,佐久間,a
50,0987,静岡県,土肥,a
50,0988,静岡県,三ヶ日,a
